Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
24,Trey Burton (FA),28,47,250,8.9,20,1,3,2,3,2,0,13,55.3,4.3,0.00%,2020,TE
25,Darren Fells (FA),21,28,312,14.9,44,6,4,0,0,0,0,16,55.2,3.5,0.00%,2020,TE
26,Gerald Everett (LAC),41,62,417,10.2,40,5,1,1,2,1,1,16,51.9,3.2,53.40%,2020,TE
27,Mo Alie-Cox (IND),31,39,394,12.7,45,9,2,0,0,0,1,15,49.4,3.3,0.20%,2020,TE
28,Jordan Reed (FA),26,46,231,8.9,26,1,4,0,0,0,0,10,47.1,4.7,19.00%,2020,TE
29,Tyler Eifert (FA),36,60,349,9.7,28,1,2,0,0,0,0,15,46.9,3.1,0.00%,2020,TE
30,Jordan Akins (CLE),37,49,403,10.9,26,7,1,1,4,0,0,13,46.7,3.6,0.60%,2020,TE
31,Richard Rodgers (FA),24,31,345,14.4,33,7,2,0,0,0,0,14,46.5,3.3,0.00%,2020,TE
32,Anthony Firkser (NE),39,53,387,9.9,45,6,1,0,0,0,0,16,44.7,2.8,0.00%,2020,TE
33,Dawson Knox (BUF),24,44,288,12,36,4,3,0,0,0,2,12,42.8,3.6,28.60%,2020,TE
34,Chris Herndon IV (FA),31,46,287,9.3,26,3,3,0,0,0,2,16,42.7,2.7,0.00%,2020,TE
35,Zach Ertz (ARI),36,72,335,9.3,42,7,1,0,0,0,0,11,41.5,3.8,29.90%,2020,TE
36,Jack Doyle (FA),23,33,251,10.9,28,2,3,0,0,0,1,14,41.1,2.9,2.00%,2020,TE
37,Jacob Hollister (LV),25,40,209,8.4,20,1,3,0,0,0,0,16,40.9,2.6,0.00%,2020,TE
38,Cameron Brate (FA),28,34,282,10.1,25,2,2,0,0,0,0,16,40.2,2.5,2.00%,2020,TE
39,Drew Sample (CIN),40,53,349,8.7,23,1,1,0,0,0,1,16,38.9,2.4,0.10%,2020,TE
40,Harrison Bryant (CLE),24,38,238,9.9,35,2,3,0,0,0,2,15,37.8,2.5,0.20%,2020,TE
41,Kyle Rudolph (FA),28,37,334,11.9,25,5,1,0,0,0,1,12,37.4,3.1,0.00%,2020,TE
42,Will Dissly (SEA),24,29,251,10.5,28,3,2,0,0,0,0,16,37.1,2.3,0.70%,2020,TE
43,Cole Kmet (CHI),28,44,243,8.7,38,2,2,1,-3,0,1,16,34,2.1,84.40%,2020,TE
44,Donald Parham Jr. (LAC),10,20,159,15.9,26,4,3,0,0,0,0,13,33.9,2.6,0.20%,2020,TE
45,David Njoku (CLE),19,29,213,11.2,28,4,2,0,0,0,0,13,33.3,2.6,91.70%,2020,TE
46,Adam Shaheen (FA),12,22,150,12.5,43,4,3,0,0,0,0,16,33,2.1,0.00%,2020,TE
47,Durham Smythe (MIA),26,29,208,8,19,0,2,0,0,0,0,15,32.8,2.2,0.30%,2020,TE
48,Ross Dwelley (SF),19,24,245,12.9,36,4,1,0,0,0,0,16,30.5,1.9,0.00%,2020,TE
49,Greg Olsen (FA),24,37,239,10,22,3,1,0,0,0,0,11,29.9,2.7,7.00%,2020,TE
50,Tyler Kroft (MIA),12,16,119,9.9,38,2,3,0,0,0,0,10,29.9,3,0.10%,2020,TE
51,Marcedes Lewis (FA),10,17,107,10.7,36,2,3,0,0,0,0,15,28.7,1.9,0.00%,2020,TE
52,Pharaoh Brown (IND),14,16,163,11.6,29,2,2,0,0,0,0,13,28.3,2.2,0.00%,2020,TE
53,O.J. Howard (FA),11,19,146,13.3,33,3,2,0,0,0,0,4,26.6,6.7,0.10%,2020,TE
54,James O'Shaughnessy (FA),28,38,262,9.4,26,3,0,0,0,0,0,15,26.2,1.7,0.00%,2020,TE
55,Foster Moreau (NO),7,9,140,20,47,7,2,0,0,0,0,16,26,1.6,0.70%,2020,TE
56,Tyler Conklin (NYJ),19,26,194,10.2,30,3,1,0,0,0,0,16,25.4,1.6,8.10%,2020,TE
57,Jesse James (NO),14,22,129,9.2,31,3,2,0,0,0,0,16,24.9,1.6,0.00%,2020,TE
58,Nick Boyle (FA),14,17,113,8.1,21,1,2,0,0,0,0,9,23.3,2.6,0.00%,2020,TE
59,Adam Trautman (DEN),15,16,171,11.4,41,4,1,0,0,0,0,15,23.1,1.5,0.10%,2020,TE
60,Ian Thomas (CAR),20,31,145,7.3,21,1,1,0,0,0,0,16,20.5,1.3,0.10%,2020,TE
61,Jason Witten (FA),13,17,69,5.3,15,0,2,0,0,0,0,16,18.9,1.2,0.00%,2020,TE
62,Albert Okwuegbunam (DEN),11,15,121,11,27,1,1,0,0,0,0,4,18.1,4.5,0.60%,2020,TE
63,Ryan Izzo (FA),13,20,199,15.3,50,6,0,0,0,0,1,12,17.9,1.5,0.00%,2020,TE
64,Jace Sternberger (BUF),12,15,114,9.5,27,2,1,0,0,0,0,12,17.4,1.5,0.00%,2020,TE
65,MyCole Pruitt (ATL),5,8,49,9.8,22,1,2,0,0,0,0,11,16.9,1.5,0.00%,2020,TE
66,Maxx Williams (FA),8,10,102,12.8,42,4,1,0,0,0,0,9,16.2,1.8,0.00%,2020,TE
67,Nick Vannett (HOU),14,21,95,6.8,19,0,1,0,0,0,0,15,15.5,1,0.00%,2020,TE
68,Lee Smith (FA),4,6,35,8.8,27,1,2,0,0,0,0,10,15.5,1.6,0.00%,2020,TE
69,Darrell Daniels (DET),8,11,92,11.5,31,3,1,0,0,0,0,12,15.2,1.3,0.00%,2020,TE
70,C.J. Uzomah (NYJ),8,11,87,10.9,23,1,1,0,0,0,0,2,14.7,7.4,0.60%,2020,TE
71,Geoff Swaim (ARI),9,12,83,9.2,16,0,1,0,0,0,0,10,14.3,1.4,0.00%,2020,TE
72,Troy Fumagalli (SF),8,15,80,10,29,1,1,0,0,0,0,8,14,1.8,0.00%,2020,TE
73,Kaden Smith (FA),18,21,112,6.2,16,0,0,0,0,0,0,15,11.2,0.7,0.00%,2020,TE
74,Blake Bell (KC),11,15,110,10,24,1,0,1,2,0,0,16,11.2,0.7,0.10%,2020,TE
75,Virgil Green (FA),3,6,50,16.7,26,1,1,0,0,0,0,6,11,1.8,0.00%,2020,TE
76,Stephen Anderson (FA),8,11,106,13.3,23,1,0,0,0,0,0,16,10.6,0.7,0.00%,2020,TE
77,Josh Hill (FA),8,10,46,5.8,16,0,1,0,0,0,0,14,10.6,0.8,0.00%,2020,TE
78,Vance McDonald (FA),15,20,99,6.6,15,0,0,0,0,0,0,14,9.9,0.7,0.00%,2020,TE
79,Devin Asiasi (CIN),2,7,39,19.5,26,1,1,0,0,0,0,8,9.9,1.2,0.10%,2020,TE
80,Ryan Griffin (FA),9,12,86,9.6,23,1,0,0,0,0,0,15,8.6,0.6,0.00%,2020,TE
81,Dominique Dafney (TB),2,2,26,13,13,0,1,0,0,0,0,5,8.6,1.7,0.00%,2020,TE
82,Colin Thompson (MIN),1,2,7,7,7,0,1,0,0,0,0,15,6.7,0.4,0.00%,2020,TE
83,Jason Croom (FA),1,1,3,3,3,0,1,0,0,0,0,4,6.3,1.6,0.00%,2020,TE
84,Jordan Thomas (CAR),1,2,3,3,3,0,1,0,0,0,0,6,6.3,1.1,0.00%,2020,TE
85,Luke Stocker (FA),7,11,63,9,25,1,0,0,0,0,0,16,6.3,0.4,0.00%,2020,TE
86,Cethan Carter (FA),5,7,53,10.6,24,2,0,0,0,0,0,15,5.3,0.4,0.00%,2020,TE
87,Johnny Mundt (MIN),4,4,53,13.3,34,2,0,0,0,0,0,16,5.3,0.3,0.10%,2020,TE
88,Chris Manhertz (DEN),6,8,52,8.7,17,0,0,0,0,0,0,16,5.2,0.3,0.00%,2020,TE
89,Levine Toilolo (FA),5,6,46,9.2,14,0,0,0,0,0,0,16,4.6,0.3,0.00%,2020,TE
90,Demetrius Harris (FA),7,14,45,6.4,9,0,0,0,0,0,0,15,4.5,0.3,0.00%,2020,TE
91,Hunter Bryant (FA),1,3,44,44,44,3,0,0,0,0,0,5,4.4,0.9,0.00%,2020,TE
92,Nick Keizer (FA),6,10,63,10.5,22,1,0,0,0,0,1,16,4.3,0.3,0.00%,2020,TE
93,Tanner Hudson (CIN),3,7,41,13.7,20,1,0,0,0,0,0,11,4.1,0.4,0.00%,2020,TE
94,Juwan Johnson (NO),4,10,39,9.8,19,0,0,0,0,0,0,7,3.9,0.6,26.00%,2020,TE
95,Deon Yelder (FA),7,11,36,5.1,12,0,0,0,0,0,0,14,3.6,0.3,0.00%,2020,TE
96,Charlie Woerner (SF),3,4,36,12,18,0,0,0,0,0,0,14,3.6,0.3,0.00%,2020,TE
97,Kahale Warring (FA),3,7,35,11.7,23,1,0,0,0,0,0,7,3.5,0.5,0.00%,2020,TE
98,Daniel Brown (FA),2,2,31,15.5,18,0,0,0,0,0,0,16,3.1,0.2,0.00%,2020,TE
99,Stephen Carlson (CHI),1,2,11,11,11,0,0,0,0,0,0,16,3.1,0.2,0.00%,2020,TE
100,Ben Ellefson (FA),1,4,10,10,10,0,0,0,0,0,0,7,3,0.4,0.00%,2020,TE
101,Jaeden Graham (FA),3,5,25,8.3,11,0,0,0,0,0,0,16,2.5,0.2,0.00%,2020,TE
102,Eric Saubert (MIA),3,4,16,5.3,9,0,0,0,0,0,0,8,1.6,0.2,0.10%,2020,TE
103,Dalton Keene (HOU),3,5,16,5.3,8,0,0,0,0,0,0,6,1.6,0.3,0.00%,2020,TE
104,Colby Parkinson (SEA),2,2,16,8,10,0,0,0,0,0,0,6,1.6,0.3,0.10%,2020,TE
105,Derek Carrier (FA),1,1,14,14,14,0,0,0,0,0,0,16,1.4,0.1,0.00%,2020,TE
106,Josiah Deguara (GB),1,2,12,12,12,0,0,0,0,0,0,2,1.2,0.6,0.10%,2020,TE
107,Luke Willson (FA),1,3,12,12,12,0,0,0,0,0,0,8,1.2,0.2,0.00%,2020,TE
108,Blake Jarwin (FA),1,1,12,12,12,0,0,0,0,0,0,1,1.2,1.2,4.00%,2020,TE
109,Temarrick Hemingway (FA),1,2,10,10,10,0,0,0,0,0,0,8,1,0.1,0.00%,2020,TE
110,Jeremy Sprinkle (FA),1,3,6,6,6,0,0,0,0,0,0,16,0.6,0,0.00%,2020,TE
111,Brandon Dillon (WAS),1,1,6,6,6,0,0,0,0,0,0,3,0.6,0.2,0.00%,2020,TE
112,Jake Butt (FA),2,4,5,2.5,5,0,0,0,0,0,0,5,0.5,0.1,0.10%,2020,TE
113,Trevon Wesco (TEN),1,2,5,5,5,0,0,1,0,0,0,12,0.5,0,0.10%,2020,TE
114,Isaac Nauta (FA),1,2,3,3,3,0,0,0,0,0,0,7,0.3,0,0.00%,2020,TE
115,Bruce Miller (FA),1,2,2,2,2,0,0,0,0,0,0,8,0.2,0,0.00%,2020,TE
116,Marcus Baugh (FA),1,1,2,2,2,0,0,0,0,0,0,8,0.2,0,0.00%,2020,TE
117,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2020,TE
118,Chris Myarick (NYG),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2020,TE
119,Brycen Hopkins (LAR),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.10%,2020,TE
120,Antonio Gandy-Golden (FA),1,7,3,3,3,0,0,1,22,0,0,6,0,0,0.00%,2020,TE
121,Andrew Beck (HOU),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%,2020,TE
122,Daniel Helm (DET),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2020,TE
123,Caleb Wilson (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2020,TE
124,Zach Gentry (PIT),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.10%,2020,TE
125,Hale Hentges (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
126,Nate Becker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
127,Jake Bargas (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
128,Farrod Green (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
129,Stephen Sullivan (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
130,Noah Togiai (ARI),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2020,TE
131,Lawrence Cager (NYG),2,6,35,17.5,19,0,0,0,0,0,0,2,0,0,0.00%,2020,TE
132,Sean McKeon (DAL),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.00%,2020,TE
133,Tyler Davis (GB),0,2,0,0,0,0,0,0,0,0,0,8,0,0,0.00%,2020,TE
134,Tommy Stevens (FA),0,0,0,0,0,0,0,4,24,0,0,1,0,0,0.00%,2020,TE
135,Reggie Gilliam (BUF),2,2,16,8,15,0,1,0,0,0,0,14,0,0,0.10%,2020,TE
136,Rashod Berry (IND),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2020,TE
137,Jordan Matthews (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2020,TE
138,Clark Harris (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2020,TE
139,J.J. Arcega-Whiteside (ATL),4,8,85,21.3,37,4,0,0,0,0,0,8,0,0,0.00%,2020,TE
140,Garrett Griffin (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2020,TE
141,Antony Auclair (FA),0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.00%,2020,TE
142,Mason Schreck (HOU),0,1,0,0,0,0,0,0,0,0,0,14,0,0,0.00%,2020,TE
143,Ricky Seals-Jones (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2020,TE
144,Evan Baylis (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2020,TE
145,Sean Culkin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
146,J.P. Holtz (FA),0,1,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2020,TE
147,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2020,TE
148,Kevin Rader (TEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
149,Hakeem Butler (PIT),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2020,TE
150,Taysom Hill (NO),8,13,98,12.3,21,2,1,87,457,8,5,16,0,0,19.00%,2020,TE
151,Kyle Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2020,TE
152,Ross Travis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2020,TE
153,Beau Brinkley (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.20%,2020,TE
154,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%,2020,TE
155,Tyler Ott (BAL),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%,2020,TE
156,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%,2020,TE
157,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%,2020,TE
158,Seth DeValve (FA),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2020,TE
159,Eric Tomlinson (HOU),0,1,0,0,0,0,0,0,0,0,0,7,0,0,0.00%,2020,TE
